year,sex,level_of_school,academic_qualification,number_of_vice_principals
2011,MF,PRE-UNIVERSITY,HONOURS DEGREE,9
2011,F,PRE-UNIVERSITY,HONOURS DEGREE,6
2011,MF,PRIMARY,MASTERS DEGREE,89
2011,F,PRIMARY,MASTERS DEGREE,59
2011,MF,SECONDARY,MASTERS DEGREE,106
2011,F,SECONDARY,MASTERS DEGREE,52
2011,MF,PRE-UNIVERSITY,MASTERS DEGREE,19
2011,F,PRE-UNIVERSITY,MASTERS DEGREE,8
2011,MF,PRIMARY,PHD,0
2011,F,PRIMARY,PHD,0
2011,MF,SECONDARY,PHD,4
2011,F,SECONDARY,PHD,2
2011,MF,PRE-UNIVERSITY,PHD,0
2011,F,PRE-UNIVERSITY,PHD,0
2012,MF,PRIMARY,GCE 'O' LEVEL/'A' LEVEL/DIPLOMA,17
2012,F,PRIMARY,GCE 'O' LEVEL/'A' LEVEL/DIPLOMA,12
2012,MF,SECONDARY,GCE 'O' LEVEL/'A' LEVEL/DIPLOMA,1
2012,F,SECONDARY,GCE 'O' LEVEL/'A' LEVEL/DIPLOMA,0
2012,MF,PRE-UNIVERSITY,GCE 'O' LEVEL/'A' LEVEL/DIPLOMA,0
2012,F,PRE-UNIVERSITY,GCE 'O' LEVEL/'A' LEVEL/DIPLOMA,0
2012,MF,PRIMARY,PASS DEGREE,102
2012,F,PRIMARY,PASS DEGREE,73
2012,MF,SECONDARY,PASS DEGREE,94
2012,F,SECONDARY,PASS DEGREE,55
2012,MF,PRE-UNIVERSITY,PASS DEGREE,5
2012,F,PRE-UNIVERSITY,PASS DEGREE,4
2012,MF,PRIMARY,HONOURS DEGREE,47
2012,F,PRIMARY,HONOURS DEGREE,27
2012,MF,SECONDARY,HONOURS DEGREE,92
2012,F,SECONDARY,HONOURS DEGREE,43
2012,MF,PRE-UNIVERSITY,HONOURS DEGREE,11
2012,F,PRE-UNIVERSITY,HONOURS DEGREE,6
2012,MF,PRIMARY,MASTERS DEGREE,102
2012,F,PRIMARY,MASTERS DEGREE,65
2012,MF,SECONDARY,MASTERS DEGREE,126
2012,F,SECONDARY,MASTERS DEGREE,66
2012,MF,PRE-UNIVERSITY,MASTERS DEGREE,20
2012,F,PRE-UNIVERSITY,MASTERS DEGREE,8
2012,MF,PRIMARY,PHD,1
2012,F,PRIMARY,PHD,0
2012,MF,SECONDARY,PHD,3
2012,F,SECONDARY,PHD,1
2012,MF,PRE-UNIVERSITY,PHD,0
2012,F,PRE-UNIVERSITY,PHD,0
2013,MF,PRIMARY,GCE 'O' LEVEL/'A' LEVEL/DIPLOMA,18
2013,F,PRIMARY,GCE 'O' LEVEL/'A' LEVEL/DIPLOMA,13
2013,MF,SECONDARY,GCE 'O' LEVEL/'A' LEVEL/DIPLOMA,1
2013,F,SECONDARY,GCE 'O' LEVEL/'A' LEVEL/DIPLOMA,0
2013,MF,PRE-UNIVERSITY,GCE 'O' LEVEL/'A' LEVEL/DIPLOMA,0
2013,F,PRE-UNIVERSITY,GCE 'O' LEVEL/'A' LEVEL/DIPLOMA,0
2013,MF,PRIMARY,PASS DEGREE,98
2013,F,PRIMARY,PASS DEGREE,73
2013,MF,SECONDARY,PASS DEGREE,90
2013,F,SECONDARY,PASS DEGREE,53
2013,MF,PRE-UNIVERSITY,PASS DEGREE,6
2013,F,PRE-UNIVERSITY,PASS DEGREE,3
2013,MF,PRIMARY,HONOURS DEGREE,45
2013,F,PRIMARY,HONOURS DEGREE,26
2013,MF,SECONDARY,HONOURS DEGREE,95
2013,F,SECONDARY,HONOURS DEGREE,42
2013,MF,PRE-UNIVERSITY,HONOURS DEGREE,14
2013,F,PRE-UNIVERSITY,HONOURS DEGREE,7
2013,MF,PRIMARY,MASTERS DEGREE,120
2013,F,PRIMARY,MASTERS DEGREE,77
2013,MF,SECONDARY,MASTERS DEGREE,133
2013,F,SECONDARY,MASTERS DEGREE,80
2013,MF,PRE-UNIVERSITY,MASTERS DEGREE,24
2013,F,PRE-UNIVERSITY,MASTERS DEGREE,9
2013,MF,PRIMARY,PHD,2
2013,F,PRIMARY,PHD,1
2013,MF,SECONDARY,PHD,3
2013,F,SECONDARY,PHD,1
2013,MF,PRE-UNIVERSITY,PHD,0
2013,F,PRE-UNIVERSITY,PHD,0
2014,MF,PRIMARY,GCE 'O' LEVEL/'A' LEVEL/DIPLOMA,15
2014,F,PRIMARY,GCE 'O' LEVEL/'A' LEVEL/DIPLOMA,11
2014,MF,SECONDARY,GCE 'O' LEVEL/'A' LEVEL/DIPLOMA,0
2014,F,SECONDARY,GCE 'O' LEVEL/'A' LEVEL/DIPLOMA,0
2014,MF,PRE-UNIVERSITY,GCE 'O' LEVEL/'A' LEVEL/DIPLOMA,0
2014,F,PRE-UNIVERSITY,GCE 'O' LEVEL/'A' LEVEL/DIPLOMA,0
2014,MF,PRIMARY,PASS DEGREE,109
2014,F,PRIMARY,PASS DEGREE,82
2014,MF,SECONDARY,PASS DEGREE,89
2014,F,SECONDARY,PASS DEGREE,53
2014,MF,PRE-UNIVERSITY,PASS DEGREE,6
2014,F,PRE-UNIVERSITY,PASS DEGREE,3
2014,MF,PRIMARY,HONOURS DEGREE,50
2014,F,PRIMARY,HONOURS DEGREE,32
2014,MF,SECONDARY,HONOURS DEGREE,100
2014,F,SECONDARY,HONOURS DEGREE,39
2014,MF,PRE-UNIVERSITY,HONOURS DEGREE,14
2014,F,PRE-UNIVERSITY,HONOURS DEGREE,4
2014,MF,PRIMARY,MASTERS DEGREE,126
2014,F,PRIMARY,MASTERS DEGREE,81
2014,MF,SECONDARY,MASTERS DEGREE,126
2014,F,SECONDARY,MASTERS DEGREE,75
2014,MF,PRE-UNIVERSITY,MASTERS DEGREE,22
2014,F,PRE-UNIVERSITY,MASTERS DEGREE,7
2014,MF,PRIMARY,PHD,2
2014,F,PRIMARY,PHD,1
2014,MF,SECONDARY,PHD,4
2014,F,SECONDARY,PHD,1
2014,MF,PRE-UNIVERSITY,PHD,0
2014,F,PRE-UNIVERSITY,PHD,0
2015,MF,PRIMARY,GCE 'O' LEVEL/'A' LEVEL/DIPLOMA,14
2015,F,PRIMARY,GCE 'O' LEVEL/'A' LEVEL/DIPLOMA,10
2015,MF,SECONDARY,GCE 'O' LEVEL/'A' LEVEL/DIPLOMA,0
2015,F,SECONDARY,GCE 'O' LEVEL/'A' LEVEL/DIPLOMA,0
2015,MF,PRE-UNIVERSITY,GCE 'O' LEVEL/'A' LEVEL/DIPLOMA,0
2015,F,PRE-UNIVERSITY,GCE 'O' LEVEL/'A' LEVEL/DIPLOMA,0
2015,MF,PRIMARY,PASS DEGREE,100
2015,F,PRIMARY,PASS DEGREE,76
2015,MF,SECONDARY,PASS DEGREE,76
2015,F,SECONDARY,PASS DEGREE,44
2015,MF,PRE-UNIVERSITY,PASS DEGREE,5
2015,F,PRE-UNIVERSITY,PASS DEGREE,3
2015,MF,PRIMARY,HONOURS DEGREE,47
2015,F,PRIMARY,HONOURS DEGREE,31
2015,MF,SECONDARY,HONOURS DEGREE,91
2015,F,SECONDARY,HONOURS DEGREE,32
2015,MF,PRE-UNIVERSITY,HONOURS DEGREE,11
2015,F,PRE-UNIVERSITY,HONOURS DEGREE,4
2015,MF,PRIMARY,MASTERS DEGREE,140
2015,F,PRIMARY,MASTERS DEGREE,88
2015,MF,SECONDARY,MASTERS DEGREE,145
2015,F,SECONDARY,MASTERS DEGREE,79
2015,MF,PRE-UNIVERSITY,MASTERS DEGREE,23
2015,F,PRE-UNIVERSITY,MASTERS DEGREE,9
2015,MF,PRIMARY,PHD,2
2015,F,PRIMARY,PHD,1
2015,MF,SECONDARY,PHD,3
2015,F,SECONDARY,PHD,0
2015,MF,PRE-UNIVERSITY,PHD,0
2015,F,PRE-UNIVERSITY,PHD,0
2016,MF,PRIMARY,GCE 'O' LEVEL/'A' LEVEL/DIPLOMA,13
2016,F,PRIMARY,GCE 'O' LEVEL/'A' LEVEL/DIPLOMA,9
2016,MF,SECONDARY,GCE 'O' LEVEL/'A' LEVEL/DIPLOMA,0
2016,F,SECONDARY,GCE 'O' LEVEL/'A' LEVEL/DIPLOMA,0
2016,MF,PRE-UNIVERSITY,GCE 'O' LEVEL/'A' LEVEL/DIPLOMA,0
2016,F,PRE-UNIVERSITY,GCE 'O' LEVEL/'A' LEVEL/DIPLOMA,0
2016,MF,PRIMARY,PASS DEGREE,98
2016,F,PRIMARY,PASS DEGREE,74
2016,MF,SECONDARY,PASS DEGREE,72
2016,F,SECONDARY,PASS DEGREE,42
2016,MF,PRE-UNIVERSITY,PASS DEGREE,5
2016,F,PRE-UNIVERSITY,PASS DEGREE,3
2016,MF,PRIMARY,HONOURS DEGREE,55
2016,F,PRIMARY,HONOURS DEGREE,38
2016,MF,SECONDARY,HONOURS DEGREE,79
2016,F,SECONDARY,HONOURS DEGREE,27
2016,MF,PRE-UNIVERSITY,HONOURS DEGREE,12
2016,F,PRE-UNIVERSITY,HONOURS DEGREE,6
2016,MF,PRIMARY,MASTERS DEGREE,132
2016,F,PRIMARY,MASTERS DEGREE,84
2016,MF,SECONDARY,MASTERS DEGREE,144
2016,F,SECONDARY,MASTERS DEGREE,76
2016,MF,PRE-UNIVERSITY,MASTERS DEGREE,25
2016,F,PRE-UNIVERSITY,MASTERS DEGREE,11
2016,MF,PRIMARY,PHD,4
2016,F,PRIMARY,PHD,2
2016,MF,SECONDARY,PHD,3
2016,F,SECONDARY,PHD,1
2016,MF,PRE-UNIVERSITY,PHD,0
2016,F,PRE-UNIVERSITY,PHD,0
2017,MF,PRIMARY,GCE 'O' LEVEL/'A' LEVEL/DIPLOMA,13
2017,F,PRIMARY,GCE 'O' LEVEL/'A' LEVEL/DIPLOMA,9
2017,MF,SECONDARY,GCE 'O' LEVEL/'A' LEVEL/DIPLOMA,0
2017,F,SECONDARY,GCE 'O' LEVEL/'A' LEVEL/DIPLOMA,0
2017,MF,PRE-UNIVERSITY,GCE 'O' LEVEL/'A' LEVEL/DIPLOMA,0
2017,F,PRE-UNIVERSITY,GCE 'O' LEVEL/'A' LEVEL/DIPLOMA,0
2017,MF,PRIMARY,PASS DEGREE,90
2017,F,PRIMARY,PASS DEGREE,67
2017,MF,SECONDARY,PASS DEGREE,68
2017,F,SECONDARY,PASS DEGREE,41
2017,MF,PRE-UNIVERSITY,PASS DEGREE,3
2017,F,PRE-UNIVERSITY,PASS DEGREE,1
2017,MF,PRIMARY,HONOURS DEGREE,50
2017,F,PRIMARY,HONOURS DEGREE,33
2017,MF,SECONDARY,HONOURS DEGREE,68
2017,F,SECONDARY,HONOURS DEGREE,25
2017,MF,PRE-UNIVERSITY,HONOURS DEGREE,13
2017,F,PRE-UNIVERSITY,HONOURS DEGREE,7
2017,MF,PRIMARY,MASTERS DEGREE,145
2017,F,PRIMARY,MASTERS DEGREE,97
2017,MF,SECONDARY,MASTERS DEGREE,152
2017,F,SECONDARY,MASTERS DEGREE,73
2017,MF,PRE-UNIVERSITY,MASTERS DEGREE,26
2017,F,PRE-UNIVERSITY,MASTERS DEGREE,11
2017,MF,PRIMARY,PHD,4
2017,F,PRIMARY,PHD,2
2017,MF,SECONDARY,PHD,3
2017,F,SECONDARY,PHD,1
2017,MF,PRE-UNIVERSITY,PHD,0
2017,F,PRE-UNIVERSITY,PHD,0
