year,sex,level_of_school,age,no_of_vice_principals
2016,MF,PRE-UNIVERSITY,40 - 44,10
2016,F,PRE-UNIVERSITY,40 - 44,3
2016,MF,PRIMARY,45 - 49,86
2016,F,PRIMARY,45 - 49,52
2016,MF,SECONDARY,45 - 49,68
2016,F,SECONDARY,45 - 49,34
2016,MF,PRE-UNIVERSITY,45 - 49,8
2016,F,PRE-UNIVERSITY,45 - 49,5
2016,MF,PRIMARY,50 - 54,46
2016,F,PRIMARY,50 - 54,37
2016,MF,SECONDARY,50 - 54,41
2016,F,SECONDARY,50 - 54,26
2016,MF,PRE-UNIVERSITY,50 - 54,5
2016,F,PRE-UNIVERSITY,50 - 54,1
1996,MF,PRIMARY,55 & ABOVE,17
1996,F,PRIMARY,55 & ABOVE,5
1996,MF,SECONDARY,55 & ABOVE,5
1996,F,SECONDARY,55 & ABOVE,2
1996,MF,PRE-UNIVERSITY,55 & ABOVE,0
1996,F,PRE-UNIVERSITY,55 & ABOVE,0
1997,MF,PRIMARY,55 & ABOVE,17
1997,F,PRIMARY,55 & ABOVE,4
1997,MF,SECONDARY,55 & ABOVE,5
1997,F,SECONDARY,55 & ABOVE,3
1997,MF,PRE-UNIVERSITY,55 & ABOVE,1
1997,F,PRE-UNIVERSITY,55 & ABOVE,0
1998,MF,PRIMARY,55 & ABOVE,16
1998,F,PRIMARY,55 & ABOVE,6
1998,MF,SECONDARY,55 & ABOVE,6
1998,F,SECONDARY,55 & ABOVE,4
1998,MF,PRE-UNIVERSITY,55 & ABOVE,3
1998,F,PRE-UNIVERSITY,55 & ABOVE,2
1999,MF,PRIMARY,55 & ABOVE,15
1999,F,PRIMARY,55 & ABOVE,9
1999,MF,SECONDARY,55 & ABOVE,6
1999,F,SECONDARY,55 & ABOVE,4
1999,MF,PRE-UNIVERSITY,55 & ABOVE,3
1999,F,PRE-UNIVERSITY,55 & ABOVE,2
2000,MF,PRIMARY,55 & ABOVE,17
2000,F,PRIMARY,55 & ABOVE,10
2000,MF,SECONDARY,55 & ABOVE,8
2000,F,SECONDARY,55 & ABOVE,6
2000,MF,PRE-UNIVERSITY,55 & ABOVE,3
2000,F,PRE-UNIVERSITY,55 & ABOVE,2
2001,MF,PRIMARY,55 & ABOVE,22
2001,F,PRIMARY,55 & ABOVE,13
2001,MF,SECONDARY,55 & ABOVE,9
2001,F,SECONDARY,55 & ABOVE,6
2001,MF,PRE-UNIVERSITY,55 & ABOVE,2
2001,F,PRE-UNIVERSITY,55 & ABOVE,2
2002,MF,PRIMARY,55 & ABOVE,19
2002,F,PRIMARY,55 & ABOVE,13
2002,MF,SECONDARY,55 & ABOVE,7
2002,F,SECONDARY,55 & ABOVE,6
2002,MF,PRE-UNIVERSITY,55 & ABOVE,2
2002,F,PRE-UNIVERSITY,55 & ABOVE,2
2003,MF,PRIMARY,55 & ABOVE,31
2003,F,PRIMARY,55 & ABOVE,22
2003,MF,SECONDARY,55 & ABOVE,10
2003,F,SECONDARY,55 & ABOVE,7
2003,MF,PRE-UNIVERSITY,55 & ABOVE,2
2003,F,PRE-UNIVERSITY,55 & ABOVE,2
2004,MF,PRIMARY,55 & ABOVE,22
2004,F,PRIMARY,55 & ABOVE,17
2004,MF,SECONDARY,55 & ABOVE,13
2004,F,SECONDARY,55 & ABOVE,9
2004,MF,PRE-UNIVERSITY,55 & ABOVE,1
2004,F,PRE-UNIVERSITY,55 & ABOVE,1
2005,MF,PRIMARY,55 & ABOVE,17
2005,F,PRIMARY,55 & ABOVE,13
2005,MF,SECONDARY,55 & ABOVE,16
2005,F,SECONDARY,55 & ABOVE,10
2005,MF,PRE-UNIVERSITY,55 & ABOVE,0
2005,F,PRE-UNIVERSITY,55 & ABOVE,0
2006,MF,PRIMARY,55 & ABOVE,17
2006,F,PRIMARY,55 & ABOVE,14
2006,MF,SECONDARY,55 & ABOVE,13
2006,F,SECONDARY,55 & ABOVE,7
2006,MF,PRE-UNIVERSITY,55 & ABOVE,0
2006,F,PRE-UNIVERSITY,55 & ABOVE,0
2007,MF,PRIMARY,55 & ABOVE,14
2007,F,PRIMARY,55 & ABOVE,14
2007,MF,SECONDARY,55 & ABOVE,15
2007,F,SECONDARY,55 & ABOVE,9
2007,MF,PRE-UNIVERSITY,55 & ABOVE,2
2007,F,PRE-UNIVERSITY,55 & ABOVE,2
2008,MF,PRIMARY,55 & ABOVE,10
2008,F,PRIMARY,55 & ABOVE,10
2008,MF,SECONDARY,55 & ABOVE,17
2008,F,SECONDARY,55 & ABOVE,11
2008,MF,PRE-UNIVERSITY,55 & ABOVE,2
2008,F,PRE-UNIVERSITY,55 & ABOVE,2
2009,MF,PRIMARY,55 & ABOVE,9
2009,F,PRIMARY,55 & ABOVE,9
2009,MF,SECONDARY,55 & ABOVE,21
2009,F,SECONDARY,55 & ABOVE,16
2009,MF,PRE-UNIVERSITY,55 & ABOVE,2
2009,F,PRE-UNIVERSITY,55 & ABOVE,2
2010,MF,PRIMARY,55 & ABOVE,7
2010,F,PRIMARY,55 & ABOVE,7
2010,MF,SECONDARY,55 & ABOVE,24
2010,F,SECONDARY,55 & ABOVE,17
2010,MF,PRE-UNIVERSITY,55 & ABOVE,2
2010,F,PRE-UNIVERSITY,55 & ABOVE,2
2011,MF,PRIMARY,55 & ABOVE,9
2011,F,PRIMARY,55 & ABOVE,7
2011,MF,SECONDARY,55 & ABOVE,22
2011,F,SECONDARY,55 & ABOVE,16
2011,MF,PRE-UNIVERSITY,55 & ABOVE,2
2011,F,PRE-UNIVERSITY,55 & ABOVE,2
2012,MF,PRIMARY,55 & ABOVE,15
2012,F,PRIMARY,55 & ABOVE,12
2012,MF,SECONDARY,55 & ABOVE,25
2012,F,SECONDARY,55 & ABOVE,17
2012,MF,PRE-UNIVERSITY,55 & ABOVE,1
2012,F,PRE-UNIVERSITY,55 & ABOVE,1
2013,MF,PRIMARY,55 & ABOVE,22
2013,F,PRIMARY,55 & ABOVE,18
2013,MF,SECONDARY,55 & ABOVE,33
2013,F,SECONDARY,55 & ABOVE,22
2013,MF,PRE-UNIVERSITY,55 & ABOVE,1
2013,F,PRE-UNIVERSITY,55 & ABOVE,1
2014,MF,PRIMARY,55 & ABOVE,24
2014,F,PRIMARY,55 & ABOVE,18
2014,MF,SECONDARY,55 & ABOVE,43
2014,F,SECONDARY,55 & ABOVE,25
2014,MF,PRE-UNIVERSITY,55 & ABOVE,0
2014,F,PRE-UNIVERSITY,55 & ABOVE,0
2015,MF,PRIMARY,55 & ABOVE,34
2015,F,PRIMARY,55 & ABOVE,27
2015,MF,SECONDARY,55 & ABOVE,53
2015,F,SECONDARY,55 & ABOVE,33
2015,MF,PRE-UNIVERSITY,55 & ABOVE,2
2015,F,PRE-UNIVERSITY,55 & ABOVE,2
2016,MF,PRIMARY,55 & ABOVE,37
2016,F,PRIMARY,55 & ABOVE,28
2016,MF,SECONDARY,55 & ABOVE,57
2016,F,SECONDARY,55 & ABOVE,34
2016,MF,PRE-UNIVERSITY,55 & ABOVE,4
2016,F,PRE-UNIVERSITY,55 & ABOVE,4
2017,MF,PRIMARY,30 - 34,1
2017,F,PRIMARY,30 - 34,1
2017,MF,SECONDARY,30 - 34,2
2017,F,SECONDARY,30 - 34,2
2017,MF,PRE-UNIVERSITY,30 - 34,1
2017,F,PRE-UNIVERSITY,30 - 34,1
2017,MF,PRIMARY,35 - 39,31
2017,F,PRIMARY,35 - 39,25
2017,MF,SECONDARY,35 - 39,48
2017,F,SECONDARY,35 - 39,23
2017,MF,PRE-UNIVERSITY,35 - 39,11
2017,F,PRE-UNIVERSITY,35 - 39,5
2017,MF,PRIMARY,40 - 44,85
2017,F,PRIMARY,40 - 44,56
2017,MF,SECONDARY,40 - 44,67
2017,F,SECONDARY,40 - 44,23
2017,MF,PRE-UNIVERSITY,40 - 44,10
2017,F,PRE-UNIVERSITY,40 - 44,4
2017,MF,PRIMARY,45 - 49,96
2017,F,PRIMARY,45 - 49,56
2017,MF,SECONDARY,45 - 49,76
2017,F,SECONDARY,45 - 49,33
2017,MF,PRE-UNIVERSITY,45 - 49,9
2017,F,PRE-UNIVERSITY,45 - 49,3
2017,MF,PRIMARY,50 - 54,43
2017,F,PRIMARY,50 - 54,33
2017,MF,SECONDARY,50 - 54,38
2017,F,SECONDARY,50 - 54,22
2017,MF,PRE-UNIVERSITY,50 - 54,6
2017,F,PRE-UNIVERSITY,50 - 54,2
2017,MF,PRIMARY,55 & ABOVE,46
2017,F,PRIMARY,55 & ABOVE,37
2017,MF,SECONDARY,55 & ABOVE,60
2017,F,SECONDARY,55 & ABOVE,37
2017,MF,PRE-UNIVERSITY,55 & ABOVE,5
2017,F,PRE-UNIVERSITY,55 & ABOVE,4
