year,sex,level_of_school,age,no_of_vice_principals
2000,F,SECONDARY,30 - 34,9
2000,MF,PRE-UNIVERSITY,30 - 34,2
2000,F,PRE-UNIVERSITY,30 - 34,1
2000,MF,PRIMARY,35 - 39,29
2000,F,PRIMARY,35 - 39,24
2000,MF,SECONDARY,35 - 39,31
2000,F,SECONDARY,35 - 39,22
2000,MF,PRE-UNIVERSITY,35 - 39,3
2000,F,PRE-UNIVERSITY,35 - 39,2
2000,MF,PRIMARY,40 - 44,38
2000,F,PRIMARY,40 - 44,25
2000,MF,SECONDARY,40 - 44,37
2000,F,SECONDARY,40 - 44,25
2000,MF,PRE-UNIVERSITY,40 - 44,5
2000,F,PRE-UNIVERSITY,40 - 44,3
2000,MF,PRIMARY,45 - 49,14
2000,F,PRIMARY,45 - 49,12
2000,MF,SECONDARY,45 - 49,25
2000,F,SECONDARY,45 - 49,17
2000,MF,PRE-UNIVERSITY,45 - 49,2
2000,F,PRE-UNIVERSITY,45 - 49,2
2000,MF,PRIMARY,50 - 54,56
2000,F,PRIMARY,50 - 54,39
2000,MF,SECONDARY,50 - 54,24
2000,F,SECONDARY,50 - 54,15
2000,MF,PRE-UNIVERSITY,50 - 54,0
2000,F,PRE-UNIVERSITY,50 - 54,0
2001,MF,PRIMARY,30 - 34,4
2001,F,PRIMARY,30 - 34,2
2001,MF,SECONDARY,30 - 34,13
2001,F,SECONDARY,30 - 34,8
2001,MF,PRE-UNIVERSITY,30 - 34,5
2001,F,PRE-UNIVERSITY,30 - 34,2
2001,MF,PRIMARY,35 - 39,30
2001,F,PRIMARY,35 - 39,24
2001,MF,SECONDARY,35 - 39,38
2001,F,SECONDARY,35 - 39,27
2001,MF,PRE-UNIVERSITY,35 - 39,2
2001,F,PRE-UNIVERSITY,35 - 39,1
2001,MF,PRIMARY,40 - 44,46
2001,F,PRIMARY,40 - 44,35
2001,MF,SECONDARY,40 - 44,43
2001,F,SECONDARY,40 - 44,27
2001,MF,PRE-UNIVERSITY,40 - 44,4
2001,F,PRE-UNIVERSITY,40 - 44,2
2001,MF,PRIMARY,45 - 49,15
2001,F,PRIMARY,45 - 49,11
2001,MF,SECONDARY,45 - 49,25
2001,F,SECONDARY,45 - 49,16
2001,MF,PRE-UNIVERSITY,45 - 49,2
2001,F,PRE-UNIVERSITY,45 - 49,2
2001,MF,PRIMARY,50 - 54,44
2001,F,PRIMARY,50 - 54,31
2001,MF,SECONDARY,50 - 54,20
2001,F,SECONDARY,50 - 54,13
2001,MF,PRE-UNIVERSITY,50 - 54,1
2001,F,PRE-UNIVERSITY,50 - 54,1
2002,MF,PRIMARY,30 - 34,8
2002,F,PRIMARY,30 - 34,5
2002,MF,SECONDARY,30 - 34,20
2002,F,SECONDARY,30 - 34,9
2002,MF,PRE-UNIVERSITY,30 - 34,6
2002,F,PRE-UNIVERSITY,30 - 34,2
2002,MF,PRIMARY,35 - 39,33
2002,F,PRIMARY,35 - 39,24
2002,MF,SECONDARY,35 - 39,28
2002,F,SECONDARY,35 - 39,16
2002,MF,PRE-UNIVERSITY,35 - 39,1
2002,F,PRE-UNIVERSITY,35 - 39,1
2002,MF,PRIMARY,40 - 44,35
2002,F,PRIMARY,40 - 44,30
2002,MF,SECONDARY,40 - 44,33
2002,F,SECONDARY,40 - 44,21
2002,MF,PRE-UNIVERSITY,40 - 44,4
2002,F,PRE-UNIVERSITY,40 - 44,3
2002,MF,PRIMARY,45 - 49,11
2002,F,PRIMARY,45 - 49,8
2002,MF,SECONDARY,45 - 49,23
2002,F,SECONDARY,45 - 49,16
2002,MF,PRE-UNIVERSITY,45 - 49,1
2002,F,PRE-UNIVERSITY,45 - 49,1
2002,MF,PRIMARY,50 - 54,35
2002,F,PRIMARY,50 - 54,26
2002,MF,SECONDARY,50 - 54,19
2002,F,SECONDARY,50 - 54,12
2002,MF,PRE-UNIVERSITY,50 - 54,1
2002,F,PRE-UNIVERSITY,50 - 54,1
2003,MF,PRIMARY,30 - 34,6
2003,F,PRIMARY,30 - 34,3
2003,MF,SECONDARY,30 - 34,15
2003,F,SECONDARY,30 - 34,5
2003,MF,PRE-UNIVERSITY,30 - 34,4
2003,F,PRE-UNIVERSITY,30 - 34,2
2003,MF,PRIMARY,35 - 39,28
2003,F,PRIMARY,35 - 39,19
2003,MF,SECONDARY,35 - 39,41
2003,F,SECONDARY,35 - 39,19
2003,MF,PRE-UNIVERSITY,35 - 39,5
2003,F,PRE-UNIVERSITY,35 - 39,5
2003,MF,PRIMARY,40 - 44,44
2003,F,PRIMARY,40 - 44,35
2003,MF,SECONDARY,40 - 44,38
2003,F,SECONDARY,40 - 44,24
2003,MF,PRE-UNIVERSITY,40 - 44,7
2003,F,PRE-UNIVERSITY,40 - 44,5
2003,MF,PRIMARY,45 - 49,22
2003,F,PRIMARY,45 - 49,19
2003,MF,SECONDARY,45 - 49,25
2003,F,SECONDARY,45 - 49,15
2003,MF,PRE-UNIVERSITY,45 - 49,1
2003,F,PRE-UNIVERSITY,45 - 49,1
2003,MF,PRIMARY,50 - 54,9
2003,F,PRIMARY,50 - 54,7
2003,MF,SECONDARY,50 - 54,21
2003,F,SECONDARY,50 - 54,16
2003,MF,PRE-UNIVERSITY,50 - 54,1
2003,F,PRE-UNIVERSITY,50 - 54,1
2004,MF,PRIMARY,30 - 34,9
2004,F,PRIMARY,30 - 34,5
2004,MF,SECONDARY,30 - 34,16
2004,F,SECONDARY,30 - 34,5
2004,MF,PRE-UNIVERSITY,30 - 34,4
2004,F,PRE-UNIVERSITY,30 - 34,1
2004,MF,PRIMARY,35 - 39,36
2004,F,PRIMARY,35 - 39,24
2004,MF,SECONDARY,35 - 39,46
2004,F,SECONDARY,35 - 39,24
2004,MF,PRE-UNIVERSITY,35 - 39,10
2004,F,PRE-UNIVERSITY,35 - 39,7
2004,MF,PRIMARY,40 - 44,42
2004,F,PRIMARY,40 - 44,31
2004,MF,SECONDARY,40 - 44,42
2004,F,SECONDARY,40 - 44,28
2004,MF,PRE-UNIVERSITY,40 - 44,9
2004,F,PRE-UNIVERSITY,40 - 44,5
2004,MF,PRIMARY,45 - 49,40
2004,F,PRIMARY,45 - 49,33
2004,MF,SECONDARY,45 - 49,30
2004,F,SECONDARY,45 - 49,18
2004,MF,PRE-UNIVERSITY,45 - 49,1
2004,F,PRE-UNIVERSITY,45 - 49,1
2004,MF,PRIMARY,50 - 54,11
2004,F,PRIMARY,50 - 54,10
2004,MF,SECONDARY,50 - 54,22
2004,F,SECONDARY,50 - 54,18
2004,MF,PRE-UNIVERSITY,50 - 54,2
2004,F,PRE-UNIVERSITY,50 - 54,2
2005,MF,PRIMARY,30 - 34,10
2005,F,PRIMARY,30 - 34,5
2005,MF,SECONDARY,30 - 34,21
2005,F,SECONDARY,30 - 34,7
2005,MF,PRE-UNIVERSITY,30 - 34,2
2005,F,PRE-UNIVERSITY,30 - 34,1
2005,MF,PRIMARY,35 - 39,48
2005,F,PRIMARY,35 - 39,36
2005,MF,SECONDARY,35 - 39,45
2005,F,SECONDARY,35 - 39,22
2005,MF,PRE-UNIVERSITY,35 - 39,12
2005,F,PRE-UNIVERSITY,35 - 39,5
2005,MF,PRIMARY,40 - 44,36
2005,F,PRIMARY,40 - 44,26
2005,MF,SECONDARY,40 - 44,43
2005,F,SECONDARY,40 - 44,28
