year,sex,level_of_school,length_of_service,no_of_vice_principals
1998,MF,PRE-UNIVERSITY,25 - 29 YEARS,1
1998,F,PRE-UNIVERSITY,25 - 29 YEARS,1
1998,MF,PRIMARY,30 YEARS & ABOVE,78
1998,F,PRIMARY,30 YEARS & ABOVE,43
1998,MF,SECONDARY,30 YEARS & ABOVE,7
1998,F,SECONDARY,30 YEARS & ABOVE,5
1998,MF,PRE-UNIVERSITY,30 YEARS & ABOVE,2
1998,F,PRE-UNIVERSITY,30 YEARS & ABOVE,1
1999,MF,PRIMARY,0 - 9 YEARS,4
1999,F,PRIMARY,0 - 9 YEARS,3
1999,MF,SECONDARY,0 - 9 YEARS,5
1999,F,SECONDARY,0 - 9 YEARS,3
1999,MF,PRE-UNIVERSITY,0 - 9 YEARS,1
1999,F,PRE-UNIVERSITY,0 - 9 YEARS,0
1999,MF,PRIMARY,10 - 14 YEARS,18
1999,F,PRIMARY,10 - 14 YEARS,14
1999,MF,SECONDARY,10 - 14 YEARS,26
1999,F,SECONDARY,10 - 14 YEARS,17
1999,MF,PRE-UNIVERSITY,10 - 14 YEARS,0
1999,F,PRE-UNIVERSITY,10 - 14 YEARS,0
1999,MF,PRIMARY,15 - 19 YEARS,38
1999,F,PRIMARY,15 - 19 YEARS,26
1999,MF,SECONDARY,15 - 19 YEARS,37
1999,F,SECONDARY,15 - 19 YEARS,27
1999,MF,PRE-UNIVERSITY,15 - 19 YEARS,5
1999,F,PRE-UNIVERSITY,15 - 19 YEARS,4
1999,MF,PRIMARY,20 - 24 YEARS,12
1999,F,PRIMARY,20 - 24 YEARS,9
1999,MF,SECONDARY,20 - 24 YEARS,22
1999,F,SECONDARY,20 - 24 YEARS,17
1999,MF,PRE-UNIVERSITY,20 - 24 YEARS,4
1999,F,PRE-UNIVERSITY,20 - 24 YEARS,4
1999,MF,PRIMARY,25 - 29 YEARS,15
1999,F,PRIMARY,25 - 29 YEARS,12
1999,MF,SECONDARY,25 - 29 YEARS,10
