month,level_1,level_2,total_loans
2007-06,Consumer,Professional and Private Individuals - Car Loans,12489.9
2007-06,Consumer,Professional and Private Individuals - Credit Cards,4297.1
2007-06,Consumer,Professional and Private Individuals - Share Financing,1719
2007-06,Consumer,Professional and Private Individuals - Others,30809
2007-07,Business,"Agriculture, Mining and Quarrying",4103.4
2007-07,Business,Manufacturing,45406.4
2007-07,Business,Building and Construction,39915.8
2007-07,Business,General Commerce,39444.9
2007-07,Business,"Transport, Storage and Communication",41999.4
2007-07,Business,Business Services,7367.5
2007-07,Business,Financial Institutions,103429.9
2007-07,Business,Professional and Private Individuals - Business Purposes,3333.4
2007-07,Business,Others,29868.7
2007-07,Consumer,Housing and Bridging Loans,69540.5
2007-07,Consumer,Professional and Private Individuals - Car Loans,12076.4
2007-07,Consumer,Professional and Private Individuals - Credit Cards,4159.6
2007-07,Consumer,Professional and Private Individuals - Share Financing,1725.2
2007-07,Consumer,Professional and Private Individuals - Others,31648.2
2007-08,Business,"Agriculture, Mining and Quarrying",4422.3
2007-08,Business,Manufacturing,46429.8
2007-08,Business,Building and Construction,40668.5
2007-08,Business,General Commerce,40008.9
2007-08,Business,"Transport, Storage and Communication",42702.2
2007-08,Business,Business Services,7844.1
2007-08,Business,Financial Institutions,107956.9
2007-08,Business,Professional and Private Individuals - Business Purposes,3462.6
2007-08,Business,Others,32655.6
2007-08,Consumer,Housing and Bridging Loans,71358.7
2007-08,Consumer,Professional and Private Individuals - Car Loans,12095.8
2007-08,Consumer,Professional and Private Individuals - Credit Cards,4176.3
2007-08,Consumer,Professional and Private Individuals - Share Financing,1465
2007-08,Consumer,Professional and Private Individuals - Others,31910.5
2007-09,Business,"Agriculture, Mining and Quarrying",4660.5
2007-09,Business,Manufacturing,47408.9
2007-09,Business,Building and Construction,41850.2
2007-09,Business,General Commerce,39524.8
2007-09,Business,"Transport, Storage and Communication",43357
2007-09,Business,Business Services,10030.9
2007-09,Business,Financial Institutions,109447.9
2007-09,Business,Professional and Private Individuals - Business Purposes,3451.4
2007-09,Business,Others,33901.5
2007-09,Consumer,Housing and Bridging Loans,72758.7
2007-09,Consumer,Professional and Private Individuals - Car Loans,12118.8
2007-09,Consumer,Professional and Private Individuals - Credit Cards,4334.7
2007-09,Consumer,Professional and Private Individuals - Share Financing,1564.5
2007-09,Consumer,Professional and Private Individuals - Others,33680.6
2007-10,Business,"Agriculture, Mining and Quarrying",4402.7
2007-10,Business,Manufacturing,45054
2007-10,Business,Building and Construction,43945.2
2007-10,Business,General Commerce,39107.7
2007-10,Business,"Transport, Storage and Communication",43985.1
2007-10,Business,Business Services,10803.8
2007-10,Business,Financial Institutions,109697.3
2007-10,Business,Professional and Private Individuals - Business Purposes,3596.5
2007-10,Business,Others,34501.5
2007-10,Consumer,Housing and Bridging Loans,74162.5
2007-10,Consumer,Professional and Private Individuals - Car Loans,12164.7
2007-10,Consumer,Professional and Private Individuals - Credit Cards,4358.2
2007-10,Consumer,Professional and Private Individuals - Share Financing,1665.6
2007-10,Consumer,Professional and Private Individuals - Others,34128.6
2007-11,Business,"Agriculture, Mining and Quarrying",4567.8
2007-11,Business,Manufacturing,47361.6
2007-11,Business,Building and Construction,45090.4
2007-11,Business,General Commerce,40583.2
2007-11,Business,"Transport, Storage and Communication",45088.5
2007-11,Business,Business Services,10243.8
2007-11,Business,Financial Institutions,111467.7
2007-11,Business,Professional and Private Individuals - Business Purposes,3678
2007-11,Business,Others,36613.2
2007-11,Consumer,Housing and Bridging Loans,75142.1
2007-11,Consumer,Professional and Private Individuals - Car Loans,12176.3
2007-11,Consumer,Professional and Private Individuals - Credit Cards,4513.2
2007-11,Consumer,Professional and Private Individuals - Share Financing,1628
2007-11,Consumer,Professional and Private Individuals - Others,35455.9
2007-12,Business,"Agriculture, Mining and Quarrying",5949.1
2007-12,Business,Manufacturing,48015.6
2007-12,Business,Building and Construction,49262.5
2007-12,Business,General Commerce,41302.5
2007-12,Business,"Transport, Storage and Communication",48022.5
2007-12,Business,Business Services,9211.8
2007-12,Business,Financial Institutions,118245.6
2007-12,Business,Professional and Private Individuals - Business Purposes,3699
2007-12,Business,Others,37913.1
2007-12,Consumer,Housing and Bridging Loans,75588.7
2007-12,Consumer,Professional and Private Individuals - Car Loans,12201
2007-12,Consumer,Professional and Private Individuals - Credit Cards,4729.4
2007-12,Consumer,Professional and Private Individuals - Share Financing,1622.7
2007-12,Consumer,Professional and Private Individuals - Others,34102.7
2008-01,Business,"Agriculture, Mining and Quarrying",5757.2
2008-01,Business,Manufacturing,47115.2
2008-01,Business,Building and Construction,50787.2
2008-01,Business,General Commerce,44141.4
2008-01,Business,"Transport, Storage and Communication",49340.3
2008-01,Business,Business Services,10249.4
2008-01,Business,Financial Institutions,119583.2
2008-01,Business,Professional and Private Individuals - Business Purposes,3884.2
2008-01,Business,Others,37643.5
2008-01,Consumer,Housing and Bridging Loans,76369.2
2008-01,Consumer,Professional and Private Individuals - Car Loans,12284.5
2008-01,Consumer,Professional and Private Individuals - Credit Cards,4619.6
2008-01,Consumer,Professional and Private Individuals - Share Financing,1333.7
2008-01,Consumer,Professional and Private Individuals - Others,34852.8
2008-02,Business,"Agriculture, Mining and Quarrying",5668.9
2008-02,Business,Manufacturing,48107.1
2008-02,Business,Building and Construction,52563.9
2008-02,Business,General Commerce,45704.7
2008-02,Business,"Transport, Storage and Communication",50165
2008-02,Business,Business Services,10417.7
2008-02,Business,Financial Institutions,117509.4
2008-02,Business,Professional and Private Individuals - Business Purposes,3879.7
2008-02,Business,Others,40159
2008-02,Consumer,Housing and Bridging Loans,76613.4
2008-02,Consumer,Professional and Private Individuals - Car Loans,12276.3
2008-02,Consumer,Professional and Private Individuals - Credit Cards,4532.4
2008-02,Consumer,Professional and Private Individuals - Share Financing,2713.3
2008-02,Consumer,Professional and Private Individuals - Others,42234.9
2008-03,Business,"Agriculture, Mining and Quarrying",5427
2008-03,Business,Manufacturing,51588.5
2008-03,Business,Building and Construction,55187.7
2008-03,Business,General Commerce,48029.4
2008-03,Business,"Transport, Storage and Communication",51418.6
2008-03,Business,Business Services,10223
2008-03,Business,Financial Institutions,119264.8
2008-03,Business,Professional and Private Individuals - Business Purposes,3919.6
2008-03,Business,Others,45790.3
2008-03,Consumer,Housing and Bridging Loans,76825.4
2008-03,Consumer,Professional and Private Individuals - Car Loans,12330.6
2008-03,Consumer,Professional and Private Individuals - Credit Cards,4553.4
2008-03,Consumer,Professional and Private Individuals - Share Financing,2557.6
2008-03,Consumer,Professional and Private Individuals - Others,43879.3
2008-04,Business,"Agriculture, Mining and Quarrying",6090.3
2008-04,Business,Manufacturing,51697.3
2008-04,Business,Building and Construction,57043.6
2008-04,Business,General Commerce,50499.5
2008-04,Business,"Transport, Storage and Communication",51985.1
2008-04,Business,Business Services,9277.2
2008-04,Business,Financial Institutions,118164.5
2008-04,Business,Professional and Private Individuals - Business Purposes,3925.6
2008-04,Business,Others,47235.1
2008-04,Consumer,Housing and Bridging Loans,77261.5
2008-04,Consumer,Professional and Private Individuals - Car Loans,12386.4
2008-04,Consumer,Professional and Private Individuals - Credit Cards,4549.1
2008-04,Consumer,Professional and Private Individuals - Share Financing,3284.3
2008-04,Consumer,Professional and Private Individuals - Others,41624.5
2008-05,Business,"Agriculture, Mining and Quarrying",6073.3
2008-05,Business,Manufacturing,49312.4
2008-05,Business,Building and Construction,57545.2
2008-05,Business,General Commerce,51626.7
2008-05,Business,"Transport, Storage and Communication",54159.7
2008-05,Business,Business Services,9725.6
2008-05,Business,Financial Institutions,120568.6
2008-05,Business,Professional and Private Individuals - Business Purposes,4020.3
2008-05,Business,Others,50397.1
2008-05,Consumer,Housing and Bridging Loans,77705.6
2008-05,Consumer,Professional and Private Individuals - Car Loans,12424.8
2008-05,Consumer,Professional and Private Individuals - Credit Cards,4685.1
2008-05,Consumer,Professional and Private Individuals - Share Financing,2625.6
2008-05,Consumer,Professional and Private Individuals - Others,44566.5
2008-06,Business,"Agriculture, Mining and Quarrying",6164.3
2008-06,Business,Manufacturing,50541.5
2008-06,Business,Building and Construction,60746.7
2008-06,Business,General Commerce,52368.2
2008-06,Business,"Transport, Storage and Communication",55652.4
2008-06,Business,Business Services,10999.6
2008-06,Business,Financial Institutions,119620
2008-06,Business,Professional and Private Individuals - Business Purposes,4105.6
2008-06,Business,Others,55443.6
2008-06,Consumer,Housing and Bridging Loans,78729.1
2008-06,Consumer,Professional and Private Individuals - Car Loans,12549.5
2008-06,Consumer,Professional and Private Individuals - Credit Cards,4956.5
2008-06,Consumer,Professional and Private Individuals - Share Financing,2776.1
2008-06,Consumer,Professional and Private Individuals - Others,46660
2008-07,Business,"Agriculture, Mining and Quarrying",6697.3
2008-07,Business,Manufacturing,50478.7
2008-07,Business,Building and Construction,61053.5
2008-07,Business,General Commerce,54696.3
2008-07,Business,"Transport, Storage and Communication",57282.3
2008-07,Business,Business Services,11581.4
2008-07,Business,Financial Institutions,122335.8
2008-07,Business,Professional and Private Individuals - Business Purposes,4148.2
2008-07,Business,Others,58690.8
2008-07,Consumer,Housing and Bridging Loans,79434.7
2008-07,Consumer,Professional and Private Individuals - Car Loans,12563.6
2008-07,Consumer,Professional and Private Individuals - Credit Cards,4996.7
2008-07,Consumer,Professional and Private Individuals - Share Financing,2802.9
2008-07,Consumer,Professional and Private Individuals - Others,47153.7
2008-08,Business,"Agriculture, Mining and Quarrying",7432.3
2008-08,Business,Manufacturing,52712.7
2008-08,Business,Building and Construction,61535.9
2008-08,Business,General Commerce,55593.8
2008-08,Business,"Transport, Storage and Communication",60102.5
2008-08,Business,Business Services,12491.2
2008-08,Business,Financial Institutions,122515.2
2008-08,Business,Professional and Private Individuals - Business Purposes,4239.7
2008-08,Business,Others,60400.3
2008-08,Consumer,Housing and Bridging Loans,80004.5
2008-08,Consumer,Professional and Private Individuals - Car Loans,12545.9
2008-08,Consumer,Professional and Private Individuals - Credit Cards,5084.2
2008-08,Consumer,Professional and Private Individuals - Share Financing,2777.7
2008-08,Consumer,Professional and Private Individuals - Others,48530.7
2008-09,Business,"Agriculture, Mining and Quarrying",7564.8
2008-09,Business,Manufacturing,54558.6
2008-09,Business,Building and Construction,62267
2008-09,Business,General Commerce,53428.5
2008-09,Business,"Transport, Storage and Communication",61725.1
2008-09,Business,Business Services,13244.5
2008-09,Business,Financial Institutions,124579.3
2008-09,Business,Professional and Private Individuals - Business Purposes,4208.7
2008-09,Business,Others,61527.4
2008-09,Consumer,Housing and Bridging Loans,80568.6
2008-09,Consumer,Professional and Private Individuals - Car Loans,12387.5
2008-09,Consumer,Professional and Private Individuals - Credit Cards,5179
2008-09,Consumer,Professional and Private Individuals - Share Financing,2621.7
2008-09,Consumer,Professional and Private Individuals - Others,49496.7
2008-10,Business,"Agriculture, Mining and Quarrying",8510.2
2008-10,Business,Manufacturing,58532.5
2008-10,Business,Building and Construction,63818
2008-10,Business,General Commerce,53815.1
2008-10,Business,"Transport, Storage and Communication",62958.4
2008-10,Business,Business Services,13203.9
2008-10,Business,Financial Institutions,118893.8
2008-10,Business,Professional and Private Individuals - Business Purposes,4112.1
2008-10,Business,Others,60189.1
2008-10,Consumer,Housing and Bridging Loans,81502.1
2008-10,Consumer,Professional and Private Individuals - Car Loans,12396.9
2008-10,Consumer,Professional and Private Individuals - Credit Cards,5187.1
2008-10,Consumer,Professional and Private Individuals - Share Financing,2080.4
2008-10,Consumer,Professional and Private Individuals - Others,44838.7
2008-11,Business,"Agriculture, Mining and Quarrying",8675.2
2008-11,Business,Manufacturing,57164.4
2008-11,Business,Building and Construction,64216.6
2008-11,Business,General Commerce,50419.2
2008-11,Business,"Transport, Storage and Communication",64220.2
2008-11,Business,Business Services,13609.7
2008-11,Business,Financial Institutions,113319.7
2008-11,Business,Professional and Private Individuals - Business Purposes,4048.7
2008-11,Business,Others,57623.6
2008-11,Consumer,Housing and Bridging Loans,81847
2008-11,Consumer,Professional and Private Individuals - Car Loans,12430.5
2008-11,Consumer,Professional and Private Individuals - Credit Cards,5373.8
2008-11,Consumer,Professional and Private Individuals - Share Financing,1845.2
2008-11,Consumer,Professional and Private Individuals - Others,42876.5
2008-12,Business,"Agriculture, Mining and Quarrying",8293.9
2008-12,Business,Manufacturing,54779.6
2008-12,Business,Building and Construction,63937.8
2008-12,Business,General Commerce,45785
2008-12,Business,"Transport, Storage and Communication",62187.2
2008-12,Business,Business Services,14840.5
2008-12,Business,Financial Institutions,107591.8
2008-12,Business,Professional and Private Individuals - Business Purposes,4161.3
2008-12,Business,Others,53212.2
2008-12,Consumer,Housing and Bridging Loans,82435.4
2008-12,Consumer,Professional and Private Individuals - Car Loans,12466.6
2008-12,Consumer,Professional and Private Individuals - Credit Cards,5495.2
2008-12,Consumer,Professional and Private Individuals - Share Financing,1838.6
2008-12,Consumer,Professional and Private Individuals - Others,41243.4
2009-01,Business,"Agriculture, Mining and Quarrying",8164
2009-01,Business,Manufacturing,56744.6
2009-01,Business,Building and Construction,65180.8
2009-01,Business,General Commerce,45892.6
2009-01,Business,"Transport, Storage and Communication",65666.9
2009-01,Business,Business Services,15671
2009-01,Business,Financial Institutions,110203.2
2009-01,Business,Professional and Private Individuals - Business Purposes,3858.3
2009-01,Business,Others,51380.6
2009-01,Consumer,Housing and Bridging Loans,83058.8
2009-01,Consumer,Professional and Private Individuals - Car Loans,12472.5
2009-01,Consumer,Professional and Private Individuals - Credit Cards,5351
2009-01,Consumer,Professional and Private Individuals - Share Financing,1846.4
2009-01,Consumer,Professional and Private Individuals - Others,41491.9
2009-02,Business,"Agriculture, Mining and Quarrying",8774.3
2009-02,Business,Manufacturing,57259
2009-02,Business,Building and Construction,65548.5
2009-02,Business,General Commerce,43961.6
2009-02,Business,"Transport, Storage and Communication",66615.5
2009-02,Business,Business Services,15328.9
2009-02,Business,Financial Institutions,110507.6
2009-02,Business,Professional and Private Individuals - Business Purposes,3987.6
2009-02,Business,Others,50748.6
2009-02,Consumer,Housing and Bridging Loans,83366.1
2009-02,Consumer,Professional and Private Individuals - Car Loans,12433
2009-02,Consumer,Professional and Private Individuals - Credit Cards,5241.3
2009-02,Consumer,Professional and Private Individuals - Share Financing,1910.2
2009-02,Consumer,Professional and Private Individuals - Others,40859.5
2009-03,Business,"Agriculture, Mining and Quarrying",8091.5
2009-03,Business,Manufacturing,55037.7
2009-03,Business,Building and Construction,66266.7
2009-03,Business,General Commerce,44262
2009-03,Business,"Transport, Storage and Communication",66306.7
2009-03,Business,Business Services,14899.3
2009-03,Business,Financial Institutions,108687.5
2009-03,Business,Professional and Private Individuals - Business Purposes,4055.1
2009-03,Business,Others,47685
2009-03,Consumer,Housing and Bridging Loans,83697.4
2009-03,Consumer,Professional and Private Individuals - Car Loans,12406.9
2009-03,Consumer,Professional and Private Individuals - Credit Cards,5222.2
2009-03,Consumer,Professional and Private Individuals - Share Financing,1792.7
2009-03,Consumer,Professional and Private Individuals - Others,40212.7
2009-04,Business,"Agriculture, Mining and Quarrying",7893.5
2009-04,Business,Manufacturing,53495.3
2009-04,Business,Building and Construction,65810.4
2009-04,Business,General Commerce,44091.5
2009-04,Business,"Transport, Storage and Communication",66147.9
2009-04,Business,Business Services,14460
2009-04,Business,Financial Institutions,106175.4
2009-04,Business,Professional and Private Individuals - Business Purposes,4019.4
2009-04,Business,Others,45762.5
2009-04,Consumer,Housing and Bridging Loans,83915.3
2009-04,Consumer,Professional and Private Individuals - Car Loans,12356.1
2009-04,Consumer,Professional and Private Individuals - Credit Cards,5261.2
2009-04,Consumer,Professional and Private Individuals - Share Financing,1619.7
2009-04,Consumer,Professional and Private Individuals - Others,39115.1
2009-05,Business,"Agriculture, Mining and Quarrying",7757.4
2009-05,Business,Manufacturing,52837.9
2009-05,Business,Building and Construction,65954.3
2009-05,Business,General Commerce,45000.6
2009-05,Business,"Transport, Storage and Communication",66102.5
2009-05,Business,Business Services,14208.2
2009-05,Business,Financial Institutions,106180.2
2009-05,Business,Professional and Private Individuals - Business Purposes,4017.5
2009-05,Business,Others,45005.1
2009-05,Consumer,Housing and Bridging Loans,84651.3
2009-05,Consumer,Professional and Private Individuals - Car Loans,12320.4
2009-05,Consumer,Professional and Private Individuals - Credit Cards,5307.5
2009-05,Consumer,Professional and Private Individuals - Share Financing,1784.2
2009-05,Consumer,Professional and Private Individuals - Others,39191.3
2009-06,Business,"Agriculture, Mining and Quarrying",7530.9
2009-06,Business,Manufacturing,51875.8
2009-06,Business,Building and Construction,67312.8
2009-06,Business,General Commerce,46218.8
2009-06,Business,"Transport, Storage and Communication",66638.2
2009-06,Business,Business Services,13482.5
2009-06,Business,Financial Institutions,103927.5
2009-06,Business,Professional and Private Individuals - Business Purposes,4057.3
2009-06,Business,Others,46516.2
2009-06,Consumer,Housing and Bridging Loans,85980.7
2009-06,Consumer,Professional and Private Individuals - Car Loans,12298.9
2009-06,Consumer,Professional and Private Individuals - Credit Cards,5531.4
2009-06,Consumer,Professional and Private Individuals - Share Financing,1894.8
2009-06,Consumer,Professional and Private Individuals - Others,40289.1
2009-07,Business,"Agriculture, Mining and Quarrying",7849.1
2009-07,Business,Manufacturing,52066.8
2009-07,Business,Building and Construction,65346.5
2009-07,Business,General Commerce,47330.6
2009-07,Business,"Transport, Storage and Communication",65862.7
2009-07,Business,Business Services,13148.8
2009-07,Business,Financial Institutions,102316.1
2009-07,Business,Professional and Private Individuals - Business Purposes,4057.6
2009-07,Business,Others,46135.5
2009-07,Consumer,Housing and Bridging Loans,87432.8
2009-07,Consumer,Professional and Private Individuals - Car Loans,12232.8
2009-07,Consumer,Professional and Private Individuals - Credit Cards,5482.2
2009-07,Consumer,Professional and Private Individuals - Share Financing,1898.8
2009-07,Consumer,Professional and Private Individuals - Others,40224.7
2009-08,Business,"Agriculture, Mining and Quarrying",7699.7
2009-08,Business,Manufacturing,52633.6
2009-08,Business,Building and Construction,65116.6
2009-08,Business,General Commerce,48976.7
2009-08,Business,"Transport, Storage and Communication",66031.2
2009-08,Business,Business Services,13593.3
2009-08,Business,Financial Institutions,102334.1
2009-08,Business,Professional and Private Individuals - Business Purposes,3989.5
2009-08,Business,Others,46478.1
2009-08,Consumer,Housing and Bridging Loans,88143.7
2009-08,Consumer,Professional and Private Individuals - Car Loans,12188.5
2009-08,Consumer,Professional and Private Individuals - Credit Cards,5573.4
2009-08,Consumer,Professional and Private Individuals - Share Financing,2071.4
2009-08,Consumer,Professional and Private Individuals - Others,40780
2009-09,Business,"Agriculture, Mining and Quarrying",7787.2
2009-09,Business,Manufacturing,52021.8
2009-09,Business,Building and Construction,65198.4
2009-09,Business,General Commerce,47698.8
2009-09,Business,"Transport, Storage and Communication",65269.8
2009-09,Business,Business Services,12503.7
2009-09,Business,Financial Institutions,102242.5
2009-09,Business,Professional and Private Individuals - Business Purposes,4021.8
2009-09,Business,Others,46866.4
2009-09,Consumer,Housing and Bridging Loans,90228.9
2009-09,Consumer,Professional and Private Individuals - Car Loans,12110.6
2009-09,Consumer,Professional and Private Individuals - Credit Cards,5770.5
2009-09,Consumer,Professional and Private Individuals - Share Financing,2159.3
2009-09,Consumer,Professional and Private Individuals - Others,40020.2
2009-10,Business,"Agriculture, Mining and Quarrying",7986.5
2009-10,Business,Manufacturing,51122.2
2009-10,Business,Building and Construction,64674.9
2009-10,Business,General Commerce,46686.9
2009-10,Business,"Transport, Storage and Communication",64018.3
2009-10,Business,Business Services,12504.7
2009-10,Business,Financial Institutions,102129.6
2009-10,Business,Professional and Private Individuals - Business Purposes,4046
2009-10,Business,Others,44459.9
2009-10,Consumer,Housing and Bridging Loans,92354.2
2009-10,Consumer,Professional and Private Individuals - Car Loans,12062
2009-10,Consumer,Professional and Private Individuals - Credit Cards,5807.1
2009-10,Consumer,Professional and Private Individuals - Share Financing,2125.1
2009-10,Consumer,Professional and Private Individuals - Others,40072
2009-11,Business,"Agriculture, Mining and Quarrying",7669.1
2009-11,Business,Manufacturing,51319.7
2009-11,Business,Building and Construction,64272
2009-11,Business,General Commerce,49190.5
2009-11,Business,"Transport, Storage and Communication",63872.4
2009-11,Business,Business Services,13228.5
2009-11,Business,Financial Institutions,105516.7
2009-11,Business,Professional and Private Individuals - Business Purposes,3994.1
2009-11,Business,Others,45612.7
2009-11,Consumer,Housing and Bridging Loans,94090.3
2009-11,Consumer,Professional and Private Individuals - Car Loans,12037.2
2009-11,Consumer,Professional and Private Individuals - Credit Cards,6038
2009-11,Consumer,Professional and Private Individuals - Share Financing,2152.2
2009-11,Consumer,Professional and Private Individuals - Others,40171.7
2009-12,Business,"Agriculture, Mining and Quarrying",8995.3
2009-12,Business,Manufacturing,51180
2009-12,Business,Building and Construction,64605.2
2009-12,Business,General Commerce,51490.1
2009-12,Business,"Transport, Storage and Communication",63540.6
2009-12,Business,Business Services,11417.6
2009-12,Business,Financial Institutions,107890.3
2009-12,Business,Professional and Private Individuals - Business Purposes,4021.4
2009-12,Business,Others,46309.7
2009-12,Consumer,Housing and Bridging Loans,94431.7
2009-12,Consumer,Professional and Private Individuals - Car Loans,12001.7
2009-12,Consumer,Professional and Private Individuals - Credit Cards,6162.9
2009-12,Consumer,Professional and Private Individuals - Share Financing,2177.5
2009-12,Consumer,Professional and Private Individuals - Others,40736.8
2010-01,Business,"Agriculture, Mining and Quarrying",9765.8
2010-01,Business,Manufacturing,50996.2
2010-01,Business,Building and Construction,64906
2010-01,Business,General Commerce,53336.1
2010-01,Business,"Transport, Storage and Communication",64405.7
2010-01,Business,Business Services,11466
2010-01,Business,Financial Institutions,106921.7
2010-01,Business,Professional and Private Individuals - Business Purposes,3988.6
2010-01,Business,Others,46912
2010-01,Consumer,Housing and Bridging Loans,95778.8
2010-01,Consumer,Professional and Private Individuals - Car Loans,12017.7
2010-01,Consumer,Professional and Private Individuals - Credit Cards,6053.3
2010-01,Consumer,Professional and Private Individuals - Share Financing,1415.4
2010-01,Consumer,Professional and Private Individuals - Others,41704.4
2010-02,Business,"Agriculture, Mining and Quarrying",9672.1
2010-02,Business,Manufacturing,51114.9
2010-02,Business,Building and Construction,66816.4
2010-02,Business,General Commerce,53350.9
2010-02,Business,"Transport, Storage and Communication",64888
2010-02,Business,Business Services,11612
2010-02,Business,Financial Institutions,106740.1
2010-02,Business,Professional and Private Individuals - Business Purposes,3976.7
2010-02,Business,Others,47309.8
2010-02,Consumer,Housing and Bridging Loans,96615
2010-02,Consumer,Professional and Private Individuals - Car Loans,12040.1
2010-02,Consumer,Professional and Private Individuals - Credit Cards,6059.7
2010-02,Consumer,Professional and Private Individuals - Share Financing,1280.9
2010-02,Consumer,Professional and Private Individuals - Others,42317.1
2010-03,Business,"Agriculture, Mining and Quarrying",9947.5
2010-03,Business,Manufacturing,49724.1
2010-03,Business,Building and Construction,65458.2
2010-03,Business,General Commerce,56829
2010-03,Business,"Transport, Storage and Communication",63937.4
2010-03,Business,Business Services,11387.9
2010-03,Business,Financial Institutions,111042.7
2010-03,Business,Professional and Private Individuals - Business Purposes,4002
2010-03,Business,Others,49298.6
2010-03,Consumer,Housing and Bridging Loans,97919.1
2010-03,Consumer,Professional and Private Individuals - Car Loans,11962.8
2010-03,Consumer,Professional and Private Individuals - Credit Cards,5947.9
2010-03,Consumer,Professional and Private Individuals - Share Financing,1306.5
2010-03,Consumer,Professional and Private Individuals - Others,42004.8
2010-04,Business,"Agriculture, Mining and Quarrying",10107.9
2010-04,Business,Manufacturing,49216.8
2010-04,Business,Building and Construction,64367.6
2010-04,Business,General Commerce,58598.5
2010-04,Business,"Transport, Storage and Communication",62899.8
2010-04,Business,Business Services,11190.7
2010-04,Business,Financial Institutions,114835.3
2010-04,Business,Professional and Private Individuals - Business Purposes,3902
2010-04,Business,Others,50046.7
2010-04,Consumer,Housing and Bridging Loans,99503.9
2010-04,Consumer,Professional and Private Individuals - Car Loans,11924.6
2010-04,Consumer,Professional and Private Individuals - Credit Cards,5936.4
2010-04,Consumer,Professional and Private Individuals - Share Financing,1378.7
2010-04,Consumer,Professional and Private Individuals - Others,41334.1
2010-05,Business,"Agriculture, Mining and Quarrying",10705.2
2010-05,Business,Manufacturing,50590.3
2010-05,Business,Building and Construction,64177.3
2010-05,Business,General Commerce,62836.8
2010-05,Business,"Transport, Storage and Communication",63842.4
2010-05,Business,Business Services,11481.3
2010-05,Business,Financial Institutions,114958
2010-05,Business,Professional and Private Individuals - Business Purposes,4006.7
2010-05,Business,Others,51620.2
2010-05,Consumer,Housing and Bridging Loans,101404.9
2010-05,Consumer,Professional and Private Individuals - Car Loans,11862.5
2010-05,Consumer,Professional and Private Individuals - Credit Cards,5955
2010-05,Consumer,Professional and Private Individuals - Share Financing,1248
2010-05,Consumer,Professional and Private Individuals - Others,42912.5
2010-06,Business,"Agriculture, Mining and Quarrying",11016.9
2010-06,Business,Manufacturing,52520.2
2010-06,Business,Building and Construction,64646.2
2010-06,Business,General Commerce,63197.9
2010-06,Business,"Transport, Storage and Communication",73054.8
2010-06,Business,Business Services,12149.5
2010-06,Business,Financial Institutions,116936.9
2010-06,Business,Professional and Private Individuals - Business Purposes,3971.5
2010-06,Business,Others,51808.4
2010-06,Consumer,Housing and Bridging Loans,103987.9
2010-06,Consumer,Professional and Private Individuals - Car Loans,11837
2010-06,Consumer,Professional and Private Individuals - Credit Cards,6083.9
2010-06,Consumer,Professional and Private Individuals - Share Financing,1246.6
2010-06,Consumer,Professional and Private Individuals - Others,43601.9
2010-07,Business,"Agriculture, Mining and Quarrying",10990.6
2010-07,Business,Manufacturing,52613.6
2010-07,Business,Building and Construction,65324.4
2010-07,Business,General Commerce,64686.1
2010-07,Business,"Transport, Storage and Communication",72511.8
2010-07,Business,Business Services,12314.5
2010-07,Business,Financial Institutions,113437.1
2010-07,Business,Professional and Private Individuals - Business Purposes,4025.2
2010-07,Business,Others,48977.6
2010-07,Consumer,Housing and Bridging Loans,106507.5
2010-07,Consumer,Professional and Private Individuals - Car Loans,11779
2010-07,Consumer,Professional and Private Individuals - Credit Cards,6050.2
2010-07,Consumer,Professional and Private Individuals - Share Financing,1265.5
2010-07,Consumer,Professional and Private Individuals - Others,44005.8
2010-08,Business,"Agriculture, Mining and Quarrying",10949.3
2010-08,Business,Manufacturing,52882.3
2010-08,Business,Building and Construction,66361.3
2010-08,Business,General Commerce,63975.3
2010-08,Business,"Transport, Storage and Communication",72299.2
2010-08,Business,Business Services,11933.3
2010-08,Business,Financial Institutions,114350.2
2010-08,Business,Professional and Private Individuals - Business Purposes,4072
2010-08,Business,Others,48848
2010-08,Consumer,Housing and Bridging Loans,108012.8
2010-08,Consumer,Professional and Private Individuals - Car Loans,11756.9
2010-08,Consumer,Professional and Private Individuals - Credit Cards,6187.4
2010-08,Consumer,Professional and Private Individuals - Share Financing,1266
2010-08,Consumer,Professional and Private Individuals - Others,44752.9
2010-09,Business,"Agriculture, Mining and Quarrying",11515
2010-09,Business,Manufacturing,52837.6
2010-09,Business,Building and Construction,67011.6
2010-09,Business,General Commerce,63527.3
2010-09,Business,"Transport, Storage and Communication",70776.9
2010-09,Business,Business Services,12613.1
2010-09,Business,Financial Institutions,113867.5
2010-09,Business,Professional and Private Individuals - Business Purposes,4029.2
2010-09,Business,Others,49152.3
2010-09,Consumer,Housing and Bridging Loans,109891.4
2010-09,Consumer,Professional and Private Individuals - Car Loans,11725.3
2010-09,Consumer,Professional and Private Individuals - Credit Cards,6306.3
2010-09,Consumer,Professional and Private Individuals - Share Financing,1350.9
2010-09,Consumer,Professional and Private Individuals - Others,45289.1
2010-10,Business,"Agriculture, Mining and Quarrying",11558.3
2010-10,Business,Manufacturing,53701.9
2010-10,Business,Building and Construction,66752.3
2010-10,Business,General Commerce,64384.6
2010-10,Business,"Transport, Storage and Communication",70858.1
2010-10,Business,Business Services,8912.4
2010-10,Business,Financial Institutions,114099.9
